Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2024-11-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-02-18;null;null;null;null;null;null;null;
2019-02-19;null;null;null;null;null;5.8;null;
2019-02-20;null;29.1;23.1;18.4;75.5;8.4;2.3;
2019-02-21;.2;28.1;22.9;18.7;73.3;11.1;3;
2019-02-22;0;30.5;24.2;18.7;69.8;10.2;2.9;
2019-02-23;0;31.7;26.1;20.7;67.9;8;3.1;
2019-02-24;0;31.7;26.2;22.3;66.7;14.3;4.9;
2019-02-25;22;22.6;18.4;17;91.3;14.8;4.2;
2019-02-26;43;22.5;18;14.5;83.1;8.9;3.2;
2019-02-27;0;26;20.1;15.4;75.9;8.2;3.1;
2019-02-28;0;25.9;20.2;14.4;65.7;7;1.9;
2019-03-01;0;29;21.2;14.5;66.4;9.3;2.9;
2019-03-02;0;29;23.2;17;62.2;9.3;2.3;
2019-03-03;0;30.8;23.8;17;55.2;7.5;2.3;
2019-03-04;0;32.1;25.1;19.3;59.5;13.6;3.9;
2019-03-05;0;31.9;25.6;20.4;67.3;9.5;3.5;
2019-03-06;0;31.3;24.2;20.7;70.8;12;3.4;
2019-03-07;14.4;27.8;21.4;19;81.6;14.2;4.2;
2019-03-08;6;29.3;22.1;18.4;80.6;18.3;4.5;
2019-03-09;23.8;21.1;19.7;18.3;92.3;9.2;2.3;
2019-03-10;7;24.9;20.4;17.3;82.5;11.2;5.2;
2019-03-11;0;24.8;20.7;17.9;84.2;10.6;3.6;
2019-03-12;14.4;23.4;19.4;17.9;91.2;9.1;3.9;
2019-03-13;28.4;25.9;20.7;17.2;87.6;6.1;2.2;
2019-03-14;.8;25.4;21.1;18.9;87.5;6.4;1.6;
2019-03-15;.2;26.7;21.1;16.8;86;4.8;1.7;
2019-03-16;0;27.7;23.2;18.6;78;7.2;2.6;
2019-03-17;.4;23.6;20.9;20;88.3;9.3;3.2;
2019-03-18;22.2;21.2;19.5;18.7;94.6;10.9;2.9;
2019-03-19;28.8;25.8;19.5;14.1;85.9;6.4;1.5;
2019-03-20;.2;21;18.6;16.5;88.3;9.6;3.2;
2019-03-21;0;21.1;17;14.2;78.3;12.1;4.6;
2019-03-22;0;26.4;18.8;14;80.3;9.1;3;
2019-03-23;0;26.6;20.4;15.1;74;6.4;2.6;
2019-03-24;0;28.2;21.9;16.8;68.1;9.4;2.8;
2019-03-25;0;26.8;21.1;15;67.1;6.8;1.7;
2019-03-26;0;26.7;20.1;14.4;54.3;7.4;3.2;
2019-03-27;0;26.3;19.5;14.5;69.6;10.2;4.4;
2019-03-28;0;27.6;21.2;16.4;74.1;10.3;4.1;
2019-03-29;0;27.8;21.6;16.4;70;7.3;2.8;
2019-03-30;0;28.2;22.3;17.2;67.9;6.6;2.3;
2019-03-31;0;27.5;22.8;17.6;71.1;7;2.4;
2019-04-01;0;30.4;23.8;18.8;71.1;7.5;2.3;
2019-04-02;0;29;23.2;19.9;71.8;7.3;2.7;
2019-04-03;0;26.8;22.1;19.1;76.1;8.2;2.3;
2019-04-04;0;28.9;23.7;20.7;76.3;12;4;
2019-04-05;14.8;23.3;20.6;20;91.3;11.8;3.8;
2019-04-06;5.4;18;16.8;15.8;92.9;12.6;3.6;
2019-04-07;13.2;21.4;18.5;16.1;93.4;5.6;1.8;
2019-04-08;.2;24.1;19.5;17;85.1;8.1;3.2;
2019-04-09;0;27.3;19.7;14.2;76.7;8.6;3.2;
2019-04-10;0;26.2;20.2;15.2;72.1;6.9;2.8;
2019-04-11;0;27.3;21.1;16.3;68.4;6.6;2.7;
2019-04-12;0;27.3;21.3;16.4;74.3;7.6;1.9;
2019-04-13;0;28.7;22.2;17.3;69.8;7.7;2.4;
2019-04-14;0;29.2;23.2;18.1;67.1;12.9;2.7;
2019-04-15;0;30.1;23.6;19.2;71.5;7;2.2;
2019-04-16;38.4;25.9;21.3;18.5;82.2;9.5;3.4;
2019-04-17;0;24.5;19.1;15.4;73.3;9.7;3.2;
2019-04-18;0;25.1;18.6;12.7;70.2;7;2.3;
2019-04-19;0;27.6;20.9;14.5;64.9;8.7;2.3;
2019-04-20;0;23.7;19.4;17.6;81;11.6;2.7;
2019-04-21;35.6;21;17.6;15.9;94.3;9.2;2.7;
2019-04-22;4.8;24.5;19.9;16.6;87.5;7.2;2.5;
2019-04-23;0;25.6;20.7;17.5;86;8;2.6;
2019-04-24;.2;27.5;21.5;16.7;78.8;6.8;2.3;
2019-04-25;0;25.4;21.4;17.7;83;6.4;2.6;
2019-04-26;0;24.3;21.7;19.5;86.1;5.8;2.2;
2019-04-27;.2;23;20.6;19.5;87.9;24.1;2.7;
2019-04-28;27.8;19.6;17.7;17;95.2;11.5;2.8;
2019-04-29;5.2;22.7;17.3;13.6;84.6;6.6;2.4;
2019-04-30;.2;23.8;18.1;13.7;84.9;6.4;2.6;
2019-05-01;.8;22;18.9;16.1;90.3;4.9;1.7;
2019-05-02;0;25.2;20;16.2;86.2;9.3;2.5;
2019-05-03;0;27.4;21.7;18.1;82.7;10;3.3;
2019-05-04;.6;28.5;23.6;20.7;78.9;8.7;3.3;
